┌───────────────────────────────────────────────────────────────────────────┐
│ REPORTE OFICIAL DEL CENTRO DE OPERACIONES DE SEGURIDAD (SOC)              │
│ SEGMENTO DE AUDITORÍA INTERCEPTADO: SESIÓN ACTUAL SOC                             │
└───────────────────────────────────────────────────────────────────────────┘

 🔴 AMENAZAS EN COBERTURA PERIMETRAL:
 ------------------------------------------------------------------------─
  • [2026-06-07 11:15:31.023015] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 4.149.210.175
  • [2026-06-07 11:15:29.116426] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 23.47.207.112
  • [2026-06-07 11:15:28.156705] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 104.208.203.89
  • [2026-06-07 11:15:16.114508] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 135.234.174.40
  • [2026-06-07 11:15:15.861025] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 18.236.126.72
  • [2026-06-07 11:14:58.932202] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 34.232.154.240
  • [2026-06-07 11:14:55.279144] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 51.116.253.170
  • [2026-06-07 11:14:51.632129] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 34.128.128.0
  • [2026-06-07 11:14:50.064143] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 35.209.157.106
  • [2026-06-07 11:14:39.209340] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 162.254.195.69
  • [2026-06-07 11:14:39.084427] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 8.8.8.8
  • [2026-06-07 11:14:38.883419] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 192.168.1.254
  • [2026-06-07 11:14:38.459794] Evento: DISPOSITIVO_NO_AUTORIZADO      | Host Comprometido: 192.168.1.69

 🟢 CONTENIDOS REGISTRADOS EN LA BITÁCORA:
 ------------------------------------------------------------------------─
